resultID,studentID,assessmentID,mark,moduleID
R001,S000,AS001,80,M001
R002,S000,AS002,100,M002
R003,S000,AS003,100,M003
R004,S000,AS004,80,M004
R005,S000,AS005,100,M005
R006,S000,AS006,80,M006
R007,S000,AS007,80,M007
R008,S000,AS008,80,M008
R009,S000,AS009,80,M009
R010,S000,AS010,100,M010
R011,S000,AS011,80,M011
R012,S000,AS012,80,M012
R013,S000,AS013,80,M013
R014,S000,AS014,80,M014
R015,S000,AS015,100,M015
R016,S000,AS016,80,M016
R017,S000,AS017,80,M017
R018,S000,AS018,80,M018
R019,S000,AS019,80,M019
R020,S000,AS020,100,M020
