classID,className,classStartTime,classEndTime,moduleID,groupID,date
C001,Lecture-M002,08:00,09:30,M002,G001,2026-03-15
C002,Lecture-M002,09:30,10:30,M002,G002,2026-03-16
C003,Tutorial-M007,09:15,10:15,M007,G003,2026-03-12
C004,Lecture-M007,10:15,11:30,M007,G004,2026-03-17
C005,Tutorial-M008,08:00,09:30,M008,G005,2026-03-16
C006,Lecture-M007,08:00,10:15,M007,G006,2026-03-15
C007,Lecture-M009,10:00,11:30,M009,G007,2026-03-3
C008,Lecture-M010,11:00,12:30,M010,G008,2026-03-12
C009,Tutorial-M010,12:30,13:30,M010,G009,2026-03-1
C010,Lecture-M011,08:00,09:30,M011,G010,2026-02-27
C011,Tutorial-M011,09:30,10:30,M011,G011,2026-02-26
C012,Lecture-M012,10:30,12:00,M012,G012,2026-02-25
C013,Lecture-M013,13:00,14:30,M013,G013,2026-02-24
C014,Tutorial-M013,14:30,15:30,M013,G014,2026-02-23
C015,Lecture-M014,08:00,09:30,M014,G015,2026-02-22
C016,Tutorial-M014,09:30,10:30,M014,G016,2026-02-21
C017,Lecture-M015,10:30,12:00,M015,G017,2026-02-20
C018,Lecture-M016,08:00,09:30,M016,G018,2026-02-19
C019,Lecture-M017,09:30,10:30,M017,G019,2026-02-18
C020,Lecture-M018,10:30,12:00,M018,G020,2026-02-17
C021,Lecture-M001,08:15,09:30,M001,G021,2026-02-16
C022,Lecture-M001,08:00,09:15,M001,G023,2026-02-15
C023,Lecture-M001,14:15,16:00,M001,G027,2026-02-13
