studentID,groupID
S000,G001
S001,G001
S002,G002
S003,G002
S004,G003
S005,G003
S006,G004
S007,G004
S008,G005
S009,G005
S010,G006
S011,G006
S012,G007
S013,G007
S014,G008
S015,G008
S016,G009
S017,G009
S018,G010
S019,G010
S020,G011
S021,G011
S022,G012
S023,G012
S024,G013
S025,G013
S026,G014
S027,G014
S028,G015
S029,G015
S030,G016
S031,G016
S032,G017
S033,G017
S034,G018
S035,G018
S036,G019
S037,G019
S038,G020
S039,G020
S040,G001
S041,G002
S042,G003
S043,G004
S044,G005
S045,G006
S046,G007
S047,G008
S048,G009
S049,G010
